Origin_Label,Destination_Label,Product_Code,Year_label,XGB_Forecast
Afghanistan,Indonesia,2106,2022,1.3779359
Afghanistan,Indonesia,3304,2022,2.5428646
Afghanistan,Indonesia,6109,2022,2.2054923
Afghanistan,Indonesia,8517,2022,24.662548
Afghanistan,Iran (Islamic Republic of),8517,2022,24.662548
Afghanistan,Iran (Islamic Republic of),9404,2022,18.92601
Afghanistan,Ireland,2106,2022,2.241322
Afghanistan,Ireland,3304,2022,4.4707317
Afghanistan,Ireland,6109,2022,6.6373215
Afghanistan,Ireland,8517,2022,39.940826
Afghanistan,Israel,8517,2022,29.293125
Afghanistan,Italy,8517,2022,53.727726
Afghanistan,Japan,6109,2022,3.4955478
Afghanistan,Japan,8517,2022,24.575634
Afghanistan,Kazakhstan,6109,2022,2.1475725
Afghanistan,Kazakhstan,8517,2022,30.048927
Afghanistan,Kazakhstan,9404,2022,19.22889
Afghanistan,Kenya,3304,2022,2.3478734
Afghanistan,Kenya,8517,2022,51.407825
Afghanistan,"Korea, Republic of",2106,2022,1.2966899
Afghanistan,"Korea, Republic of",3304,2022,2.5400393
Afghanistan,"Korea, Republic of",6109,2022,5.986519
Afghanistan,"Korea, Republic of",8517,2022,34.392494
Afghanistan,Kuwait,2106,2022,4.2604394
Afghanistan,Kuwait,3304,2022,2.8404646
Afghanistan,Kuwait,6109,2022,8.108169
Afghanistan,Kuwait,8517,2022,70.03716
Afghanistan,Luxembourg,6109,2022,2.861082
Afghanistan,Malaysia,8517,2022,62.427353
Afghanistan,Maldives,6109,2022,2.629938
Afghanistan,Maldives,8517,2022,17.320572
Afghanistan,Mali,8517,2022,28.281366
Afghanistan,"Moldova, Republic of",2106,2022,1.5329922
Afghanistan,Mozambique,2106,2022,5.3124824
Afghanistan,Mozambique,3304,2022,0.92909175
Afghanistan,Mozambique,6109,2022,6.1828437
Afghanistan,Mozambique,8517,2022,42.018173
Afghanistan,Mozambique,9404,2022,18.83421
Afghanistan,Myanmar,8517,2022,139.92757
Afghanistan,Nepal,3304,2022,2.9531615
Afghanistan,Nepal,6109,2022,4.6437798
Afghanistan,Netherlands (Kingdom of the),2106,2022,2.3596153
Afghanistan,Netherlands (Kingdom of the),3304,2022,7.95751
Afghanistan,Netherlands (Kingdom of the),6109,2022,3.2925668
Afghanistan,Netherlands (Kingdom of the),8517,2022,28.93499
Afghanistan,Netherlands (Kingdom of the),9404,2022,27.949581
Afghanistan,New Zealand,3304,2022,1.0379531
Afghanistan,New Zealand,6109,2022,3.590352
Afghanistan,Niger,2106,2022,1.120165
Afghanistan,Nigeria,2106,2022,0.9819674
Afghanistan,Nigeria,6109,2022,1.9349841
Afghanistan,Nigeria,8517,2022,60.303764
Afghanistan,Norway,3304,2022,4.591615
Afghanistan,Norway,6109,2022,3.1837866
Afghanistan,Norway,8517,2022,28.448626
Afghanistan,Pakistan,8517,2022,49.279484
Afghanistan,Paraguay,8517,2022,60.38762
Afghanistan,Peru,6109,2022,2.7482314
Afghanistan,Philippines,6109,2022,4.4249377
Afghanistan,Philippines,8517,2022,52.535
Afghanistan,Poland,2106,2022,7.5611477
Afghanistan,Poland,3304,2022,2.3656585
Afghanistan,Poland,6109,2022,2.861082
Afghanistan,Poland,8517,2022,27.969118
